route_id,index,from_stop,to_stop,metres,seconds,seconds_peak,seconds_offpeak,trips
10039,0,73512,61752,801.0,147.0,175,146,518
10039,1,61752,61740,883.0,162.0,193,161,518
10039,2,61740,61761,1136.0,208.0,249.0,207.0,518
10039,3,61761,61749,2660.0,487.0,581.0,484.0,518
10039,4,61749,61725,2922.0,536.0,639.0,533.0,518
10039,5,61725,72762,831.0,152.0,182,151,518
10039,6,72762,72764,819.0,150.0,179,150,518
10039,7,72764,61992,1873.0,344.0,411,341,518
10039,8,61992,61955,627.0,115.0,138,114,518
10039,9,61955,61985,635.0,116.0,141,116,518
10039,10,61985,62315,808.0,148.0,178.0,147.0,518
10056,0,61970,61940,1135.0,246,243,246.0,555
10056,1,61940,61978,873.0,189,188,189.0,555
10056,2,61978,61939,556.0,120,119,120.0,555
10056,3,61939,61960,600.0,130,128.0,130,555
10056,4,61960,61949,590.0,128,127,128.0,555
10056,5,61949,61930,487.0,105,104,105.0,555
10056,6,61930,61990,909.0,197,195.0,197,555
10056,7,61990,61955,705.0,153,153,153.0,555
10056,8,61955,61984,515.0,111,110.5,111,555
10056,9,61984,71424,835.0,181,180.0,181,555
10067,0,62315,61986,449.0,88.0,96.0,87.0,514
10067,1,61986,61959,718.0,139.0,152.0,139.0,514
10067,2,61959,61997,696.0,136.0,148.0,135.0,514
10067,3,61997,72757,1647.0,321.0,351.5,319.0,514
10067,4,72757,72760,884.0,172.0,188,171,514
10067,5,72760,61731,858.0,167.0,184,167,514
10067,6,61731,61750,2894.0,564.0,617.5,560.0,514
10067,7,61750,61762,2658.0,518.0,569.5,515.0,514
10067,8,61762,61743,1140.0,223.0,245,221,514
10067,9,61743,61755,894.0,174.0,192.0,174.0,514
10067,10,61755,73512,632.0,123.0,136,122,514
10070,0,71424,61987,673.0,148.0,164.0,147.0,548
10070,1,61987,61959,587.0,129.0,144.0,127.0,548
10070,2,61959,61996,637.0,140.0,156,139,548
10070,3,61996,61935,1053.0,231.0,257.0,229.0,548
10070,4,61935,61950,337.0,74.0,82,74,548
10070,5,61950,61963,589.0,130.0,144,128,548
10070,6,61963,61936,588.0,129.0,145.0,128.0,548
10070,7,61936,61983,743.0,163.0,183.5,162.0,548
10070,8,61983,61942,765.0,168.0,191,166,548
10070,9,61942,61970,1331.0,293.0,332.5,290.0,548
10073,0,61967,61943,1293.0,207.0,222,205,510
10073,1,61943,61978,942.0,151.0,162.0,149.0,510
10073,2,61978,61948,1679.0,269.0,288.0,266.0,510
10073,3,61948,61928,480.0,77.0,82.0,76.0,510
10073,4,61928,72758,1249.0,200.0,214,198,510
10073,5,72758,72759,752.0,121.0,129.0,119.0,510
10073,6,72759,61595,1156.0,185.0,199.0,183.0,510
10073,7,61595,61558,4351.0,697.0,746.0,688.5,510
10073,8,61558,61568,427.0,69.0,73,67,510
10073,9,61568,61535,1917.0,307.0,329.0,303.0,510
10073,10,61535,62020,556.0,89.0,95.0,88.0,510
10073,11,62020,61447,921.0,147.0,158,146,510
10073,12,61447,61467,1075.0,173.0,184.0,169.0,510
10073,13,61467,61427,3228.0,517.0,554,510,510
10073,14,61427,61459,1069.0,171.0,184.0,169.0,510
10073,15,61459,61411,2015.0,323.0,346,318,510
10073,16,61411,61455,787.0,126.0,135,124,510
10073,17,61455,61423,624.0,100.0,107.0,99.0,510
10073,18,61423,61431,567.0,91.0,97.0,89.0,510
10074,0,61431,61424,1008.0,168,171.0,168,481
10074,1,61424,61456,625.0,105,107.0,104,481
10074,2,61456,61412,793.0,132,135.0,132,481
10074,3,61412,61460,1984.0,332,337.0,331,481
10074,4,61460,61428,1081.0,181,184.0,180,481
10074,5,61428,61468,3232.0,540,550,538.0,481
10074,6,61468,61448,1064.0,178,181.0,177,481
10074,7,61448,62034,1034.0,173,176.0,172,481
10074,8,62034,61541,483.0,81,82.0,80,481
10074,9,61541,61572,1855.0,310,315,308.5,481
10074,10,61572,61562,579.0,97,99.0,96,481
10074,11,61562,73814,4346.0,727,742,721.0,481
10074,12,73814,72761,1093.0,182,188.0,182,481
10074,13,72761,72763,819.0,137,141,136.0,481
10074,14,72763,61932,1133.0,190,194.5,188,481
10074,15,61932,61950,479.0,80,83,79.0,481
10074,16,61950,61979,1749.0,292,301,290.0,481
10074,17,61979,61941,867.0,145,150,144.0,481
10074,18,61941,61967,1173.0,196,203,195.0,481
10075,0,73225,61503,1082.0,147,161,146.0,431
10075,1,61503,61477,556.0,76,83.0,74,431
10075,2,61477,61496,462.0,63,69,62.0,431
10075,3,61496,61481,1280.0,175,191.0,172,431
10075,4,61481,61473,1157.0,157,173.0,156,431
10075,5,61473,61489,575.0,79,85.0,77,431
10075,6,61489,61485,598.0,81,90,80.0,431
10075,7,61485,61163,2444.0,333,364.0,329,431
10075,8,61163,61177,1440.0,196,215,194.0,431
10075,9,61177,61151,4272.0,583,637.0,575,431
10075,10,61151,72906,956.0,130,142.0,129,431
10075,11,72906,61225,414.0,56,62,55.0,431
10075,12,61225,61251,1301.0,178,194,175.0,431
10075,13,61251,61235,964.0,131,144.5,130,431
10076,0,61235,72937,1629.0,235.0,265.0,230.0,406
10076,1,72937,72908,1301.0,187.0,212.0,184.0,406
10076,2,72908,72907,345.0,50.0,56,49,406
10076,3,72907,61141,923.0,133.0,151.0,130.0,406
10076,4,61141,61169,4197.0,604.0,684,594,406
10076,5,61169,61157,1219.0,176.0,199,173,406
10076,6,61157,61483,2723.0,392.0,444,385,406
10076,7,61483,61487,596.0,86.0,97.0,85.0,406
10076,8,61487,73415,667.0,96.0,109,94,406
10076,9,73415,61479,1069.0,154.0,174.0,151.0,406
10076,10,61479,61494,1278.0,184.0,208.0,181.0,406
10076,11,61494,61475,460.0,66.0,75.0,65.0,406
10076,12,61475,61501,557.0,80.0,91.0,79.0,406
10076,13,61501,73225,1157.0,167.0,189.0,164.0,406
10082,0,61845,61847,810.0,170,170,,9
10082,1,61847,61288,763.0,160,160,,9
10082,2,61288,61647,349.0,73,73,,9
10082,3,61647,61704,784.0,164,164,,9
10082,4,61704,61585,479.0,101,101,,9
10082,5,61585,61699,2197.0,461,461,,9
10082,6,61699,61694,1557.0,326,326,,9
10082,7,61694,61670,1736.0,364,364,,9
10082,8,61670,61625,1267.0,266,266,,9
11163,0,61845,61847,810.0,167,203.5,165,607
