trip_id,route_id,service_id,shape_id,departure_s,arrival_s,stops,first_stop,last_stop,metres
TTB890122.1.10039,10039,1,10039,16200,18900,12,73512,62315,13995.0
TTB890189.1.10039,10039,1,10039,16500,19095,12,73512,62315,13995.0
TTB890249.1.10039,10039,1,10039,16800,19440,12,73512,62315,13995.0
TTB890306.1.10039,10039,1,10039,17100,19845,12,73512,62315,13995.0
TTB890365.1.10039,10039,1,10039,17400,20190,12,73512,62315,13995.0
TTB890419.1.10039,10039,1,10039,17700,20520,12,73512,62315,13995.0
TTB890463.1.10039,10039,1,10039,18000,21060,12,73512,62315,13995.0
TTB890552.1.10039,10039,1,10039,18300,21390,12,73512,62315,13995.0
TTB890621.1.10039,10039,1,10039,18600,21600,12,73512,62315,13995.0
TTB890070.2.10039,10039,1,10039,18900,21990,12,73512,62315,13995.0
TTB890749.1.10039,10039,1,10039,19200,22140,12,73512,62315,13995.0
TTB890097.2.10039,10039,1,10039,19500,22590,12,73512,62315,13995.0
TTB890856.1.10039,10039,1,10039,19800,22890,12,73512,62315,13995.0
TTB890933.1.10039,10039,1,10039,20070,23160,12,73512,62315,13995.0
TTB890168.2.10039,10039,1,10039,20340,23430,12,73512,62315,13995.0
TTB891048.1.10039,10039,1,10039,20610,23700,12,73512,62315,13995.0
TTB890572.2.10039,10039,1,10039,20880,23970,12,73512,62315,13995.0
TTB891147.1.10039,10039,1,10039,21120,24225,12,73512,62315,13995.0
TTB890122.3.10039,10039,1,10039,21360,24585,12,73512,62315,13995.0
TTB891240.1.10039,10039,1,10039,21600,24840,12,73512,62315,13995.0
TTB891279.1.10039,10039,1,10039,21795,25110,12,73512,62315,13995.0
TTB890249.3.10039,10039,1,10039,21990,25335,12,73512,62315,13995.0
TTB891347.1.10039,10039,1,10039,22185,25425,12,73512,62315,13995.0
TTB891381.1.10039,10039,1,10039,22380,25725,12,73512,62315,13995.0
TTB890306.3.10039,10039,1,10039,22575,25920,12,73512,62315,13995.0
TTB890753.1.10039,10039,1,10039,22770,26100,12,73512,62315,13995.0
TTB890419.3.10039,10039,1,10039,22965,26310,12,73512,62315,13995.0
TTB891488.1.10039,10039,1,10039,23160,26460,12,73512,62315,13995.0
TTB891515.1.10039,10039,1,10039,23355,26700,12,73512,62315,13995.0
TTB890463.3.10039,10039,1,10039,23550,26835,12,73512,62315,13995.0
TTB890256.1.10039,10039,1,10039,23730,27000,12,73512,62315,13995.0
TTB891584.1.10039,10039,1,10039,23910,27255,12,73512,62315,13995.0
TTB890621.3.10039,10039,1,10039,24090,27435,12,73512,62315,13995.0
TTB891624.1.10039,10039,1,10039,24270,27540,12,73512,62315,13995.0
TTB891104.1.10039,10039,1,10039,24450,27795,12,73512,62315,13995.0
TTB890749.3.10039,10039,1,10039,24630,27975,12,73512,62315,13995.0
TTB890592.1.10039,10039,1,10039,24810,28080,12,73512,62315,13995.0
TTB891692.1.10039,10039,1,10039,24990,28335,12,73512,62315,13995.0
TTB890097.4.10039,10039,1,10039,25170,28575,12,73512,62315,13995.0
TTB890356.1.10039,10039,1,10039,25350,28755,12,73512,62315,13995.0
TTB890932.1.10039,10039,1,10039,25530,28950,12,73512,62315,13995.0
TTB890933.3.10039,10039,1,10039,25710,29130,12,73512,62315,13995.0
TTB890813.1.10039,10039,1,10039,25890,29235,12,73512,62315,13995.0
TTB891037.1.10039,10039,1,10039,26070,29490,12,73512,62315,13995.0
TTB891048.3.10039,10039,1,10039,26250,29655,12,73512,62315,13995.0
TTB890895.1.10039,10039,1,10039,26460,29880,12,73512,62315,13995.0
TTB890854.1.10039,10039,1,10039,26670,30075,12,73512,62315,13995.0
TTB891147.3.10039,10039,1,10039,26880,30195,12,73512,62315,13995.0
TTB890274.1.10039,10039,1,10039,27090,30435,12,73512,62315,13995.0
TTB891240.3.10039,10039,1,10039,27300,30600,12,73512,62315,13995.0
TTB891080.1.10039,10039,1,10039,27510,30780,12,73512,62315,13995.0
TTB890138.1.10039,10039,1,10039,27720,30960,12,73512,62315,13995.0
TTB890249.5.10039,10039,1,10039,27930,31125,12,73512,62315,13995.0
TTB891381.2.10039,10039,1,10039,28140,31185,12,73512,62315,13995.0
TTB891324.1.10039,10039,1,10039,28350,31485,12,73512,62315,13995.0
TTB890306.5.10039,10039,1,10039,28560,31635,12,73512,62315,13995.0
TTB890419.4.10039,10039,1,10039,28770,31830,12,73512,62315,13995.0
TTB891488.3.10039,10039,1,10039,28980,32040,12,73512,62315,13995.0
TTB890463.4.10039,10039,1,10039,29220,32280,12,73512,62315,13995.0
TTB890256.3.10039,10039,1,10039,29460,32520,12,73512,62315,13995.0
TTB891584.2.10039,10039,1,10039,29700,32760,12,73512,62315,13995.0
TTB890621.4.10039,10039,1,10039,29940,33000,12,73512,62315,13995.0
TTB891624.3.10039,10039,1,10039,30180,33120,12,73512,62315,13995.0
TTB890749.4.10039,10039,1,10039,30420,33480,12,73512,62315,13995.0
TTB890592.3.10039,10039,1,10039,30660,33615,12,73512,62315,13995.0
TTB891479.1.10039,10039,1,10039,30900,33960,12,73512,62315,13995.0
TTB890356.2.10039,10039,1,10039,31140,34110,12,73512,62315,13995.0
TTB890097.6.10039,10039,1,10039,31380,34410,12,73512,62315,13995.0
TTB890813.2.10039,10039,1,10039,31620,34605,12,73512,62315,13995.0
TTB890933.5.10039,10039,1,10039,31860,34665,12,73512,62315,13995.0
TTB890167.1.10039,10039,1,10039,32100,35010,12,73512,62315,13995.0
TTB891048.5.10039,10039,1,10039,32340,35100,12,73512,62315,13995.0
TTB891147.4.10039,10039,1,10039,32580,35445,12,73512,62315,13995.0
TTB890854.3.10039,10039,1,10039,32820,35595,12,73512,62315,13995.0
TTB891690.1.10039,10039,1,10039,33060,35925,12,73512,62315,13995.0
TTB891240.5.10039,10039,1,10039,33300,36090,12,73512,62315,13995.0
TTB891381.3.10039,10039,1,10039,33570,36435,12,73512,62315,13995.0
TTB890249.7.10039,10039,1,10039,33840,36705,12,73512,62315,13995.0
TTB890306.7.10039,10039,1,10039,34110,36975,12,73512,62315,13995.0
TTB890419.5.10039,10039,1,10039,34380,37245,12,73512,62315,13995.0
TTB891488.5.10039,10039,1,10039,34740,37485,12,73512,62315,13995.0
TTB890256.5.10039,10039,1,10039,35100,37950,12,73512,62315,13995.0
TTB890621.5.10039,10039,1,10039,35460,38325,12,73512,62315,13995.0
TTB891624.5.10039,10039,1,10039,35820,38640,12,73512,62315,13995.0
TTB890592.5.10039,10039,1,10039,36180,38970,12,73512,62315,13995.0
TTB890356.4.10039,10039,1,10039,36540,39255,12,73512,62315,13995.0
TTB890933.6.10039,10039,1,10039,36900,39690,12,73512,62315,13995.0
TTB890813.4.10039,10039,1,10039,37260,40050,12,73512,62315,13995.0
TTB891048.7.10039,10039,1,10039,37620,40410,12,73512,62315,13995.0
TTB891147.5.10039,10039,1,10039,37980,40770,12,73512,62315,13995.0
TTB890854.5.10039,10039,1,10039,38355,41145,12,73512,62315,13995.0
TTB891240.7.10039,10039,1,10039,38730,41520,12,73512,62315,13995.0
TTB891381.5.10039,10039,1,10039,39135,41790,12,73512,62315,13995.0
TTB890306.9.10039,10039,1,10039,39540,42210,12,73512,62315,13995.0
TTB891488.7.10039,10039,1,10039,39945,42630,12,73512,62315,13995.0
TTB890419.6.10039,10039,1,10039,40350,43050,12,73512,62315,13995.0
TTB890256.7.10039,10039,1,10039,40755,43470,12,73512,62315,13995.0
TTB890621.7.10039,10039,1,10039,41175,43890,12,73512,62315,13995.0
TTB891624.7.10039,10039,1,10039,41595,44310,12,73512,62315,13995.0
TTB890356.6.10039,10039,1,10039,42015,44730,12,73512,62315,13995.0
TTB890933.8.10039,10039,1,10039,42435,45150,12,73512,62315,13995.0
TTB890813.6.10039,10039,1,10039,42855,45570,12,73512,62315,13995.0
TTB891048.9.10039,10039,1,10039,43275,45945,12,73512,62315,13995.0
TTB891147.7.10039,10039,1,10039,43695,46365,12,73512,62315,13995.0
TTB890854.7.10039,10039,1,10039,44115,46785,12,73512,62315,13995.0
TTB891381.7.10039,10039,1,10039,44535,47205,12,73512,62315,13995.0
TTB890306.11.10039,10039,1,10039,44955,47625,12,73512,62315,13995.0
TTB891488.9.10039,10039,1,10039,45375,48045,12,73512,62315,13995.0
TTB890419.8.10039,10039,1,10039,45795,48465,12,73512,62315,13995.0
TTB890256.9.10039,10039,1,10039,46215,48885,12,73512,62315,13995.0
TTB890621.9.10039,10039,1,10039,46635,49305,12,73512,62315,13995.0
TTB891624.9.10039,10039,1,10039,47055,49770,12,73512,62315,13995.0
TTB890356.8.10039,10039,1,10039,47475,50190,12,73512,62315,13995.0
TTB890933.10.10039,10039,1,10039,47895,50610,12,73512,62315,13995.0
TTB890813.8.10039,10039,1,10039,48315,51030,12,73512,62315,13995.0
TTB891048.11.10039,10039,1,10039,48735,51450,12,73512,62315,13995.0
TTB891147.9.10039,10039,1,10039,49155,51870,12,73512,62315,13995.0
TTB890854.9.10039,10039,1,10039,49575,52290,12,73512,62315,13995.0
TTB891381.9.10039,10039,1,10039,49995,52710,12,73512,62315,13995.0
TTB890306.13.10039,10039,1,10039,50415,53100,12,73512,62315,13995.0
TTB891488.11.10039,10039,1,10039,50835,53520,12,73512,62315,13995.0
TTB890419.10.10039,10039,1,10039,51255,53940,12,73512,62315,13995.0
TTB890256.11.10039,10039,1,10039,51675,54360,12,73512,62315,13995.0
TTB890621.11.10039,10039,1,10039,52095,54780,12,73512,62315,13995.0
TTB891624.11.10039,10039,1,10039,52515,55200,12,73512,62315,13995.0
TTB890356.10.10039,10039,1,10039,52935,55590,12,73512,62315,13995.0
TTB890933.12.10039,10039,1,10039,53355,55980,12,73512,62315,13995.0
